@relation 'Absenteeism_at_work_A-weka.filters.unsupervised.attribute.Remove-R2-7,9,14-21-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates'

@attribute ID {31.0,27.0,19.0,30.0,7.0,20.0,24.0,32.0,3.0,33.0,26.0,29.0,18.0,25.0,17.0,14.0,16.0,23.0,2.0,21.0,36.0,15.0,22.0,5.0,12.0,9.0,6.0,34.0,10.0,28.0,13.0,11.0,1.0,4.0,8.0,35.0}
@attribute Service_time numeric
@attribute Work_load_Average/day_ numeric
@attribute Hit_target numeric
@attribute Disciplinary_failure {1.0,0.0}

@data
11.0,13,239554,97,0.0
36.0,18,239554,97,1.0
3.0,18,239554,97,0.0
7.0,14,239554,97,0.0
10.0,3,239554,97,0.0
20.0,11,239554,97,0.0
14.0,14,239554,97,0.0
1.0,14,239554,97,0.0
24.0,16,239554,97,0.0
6.0,13,239554,97,0.0
33.0,14,205917,92,0.0
18.0,4,205917,92,0.0
3.0,18,205917,92,0.0
10.0,3,205917,92,0.0
20.0,11,205917,92,0.0
11.0,13,205917,92,0.0
30.0,6,205917,92,0.0
2.0,12,205917,92,0.0
1.0,14,205917,92,0.0
19.0,12,205917,92,0.0
27.0,7,241476,92,0.0
34.0,10,241476,92,0.0
3.0,18,241476,92,0.0
5.0,13,241476,92,0.0
14.0,14,241476,92,0.0
15.0,12,241476,92,0.0
20.0,11,241476,92,0.0
20.0,11,241476,92,1.0
29.0,9,241476,92,1.0
28.0,9,241476,92,0.0
11.0,13,241476,92,1.0
36.0,18,241476,92,1.0
13.0,12,241476,92,1.0
33.0,14,241476,92,0.0
3.0,18,253465,93,0.0
34.0,10,253465,93,0.0
36.0,18,253465,93,1.0
22.0,9,253465,93,0.0
28.0,9,253465,93,0.0
33.0,14,253465,93,0.0
15.0,12,253465,93,0.0
20.0,11,253465,93,0.0
11.0,13,253465,93,0.0
10.0,3,253465,93,0.0
3.0,18,306345,93,0.0
28.0,9,306345,93,0.0
17.0,17,306345,93,0.0
15.0,12,306345,93,0.0
14.0,14,306345,93,0.0
6.0,13,306345,93,0.0
20.0,11,306345,93,0.0
33.0,14,306345,93,0.0
11.0,13,306345,93,0.0
33.0,14,261306,97,0.0
34.0,10,261306,97,0.0
36.0,18,261306,97,0.0
1.0,14,261306,97,0.0
28.0,9,261306,97,0.0
20.0,11,261306,97,0.0
10.0,3,261306,97,0.0
24.0,16,261306,97,0.0
28.0,9,308593,95,0.0
34.0,10,308593,95,0.0
14.0,14,308593,95,0.0
27.0,7,308593,95,0.0
22.0,9,308593,95,0.0
11.0,13,308593,95,0.0
27.0,7,302585,99,0.0
24.0,16,302585,99,0.0
3.0,18,302585,99,0.0
14.0,14,302585,99,0.0
6.0,13,302585,99,0.0
20.0,11,302585,99,0.0
11.0,13,302585,99,0.0
31.0,9,302585,99,0.0
28.0,9,302585,99,0.0
22.0,9,302585,99,0.0
18.0,4,302585,99,0.0
19.0,12,343253,95,0.0
20.0,11,343253,95,0.0
30.0,6,343253,95,0.0
17.0,17,343253,95,0.0
15.0,12,343253,95,0.0
22.0,9,343253,95,0.0
33.0,14,343253,95,0.0
14.0,14,343253,95,0.0
11.0,13,343253,95,0.0
28.0,9,343253,95,0.0
7.0,14,343253,95,0.0
3.0,18,343253,95,0.0
15.0,12,326452,96,0.0
28.0,9,326452,96,0.0
14.0,14,326452,96,0.0
24.0,16,326452,96,0.0
20.0,11,326452,96,0.0
3.0,18,326452,96,0.0
36.0,18,326452,96,0.0
33.0,14,326452,96,0.0
11.0,13,326452,96,0.0
23.0,11,326452,96,0.0
1.0,14,326452,96,0.0
2.0,12,326452,96,1.0
11.0,13,378884,92,0.0
14.0,14,378884,92,0.0
3.0,18,378884,92,0.0
28.0,9,378884,92,0.0
27.0,7,378884,92,0.0
7.0,14,378884,92,1.0
18.0,4,378884,92,1.0
23.0,11,378884,92,1.0
